# ik    E (eV)      weight
    0.039179   -0.800000    0.136055
    0.039179   -0.750000    0.133958
    0.039179   -0.700000    0.134505
    0.039179   -0.650000    0.137949
    0.039179   -0.600000    0.144849
    0.039179   -0.550000    0.156217
    0.039179   -0.500000    0.173818
    0.039179   -0.450000    0.200778
    0.039179   -0.400000    0.242918
    0.039179   -0.350000    0.311926
    0.039179   -0.300000    0.433889
    0.039179   -0.250000    0.676001
    0.039179   -0.200000    1.247710
    0.039179   -0.150000    2.926642
    0.039179   -0.100000    6.379918
    0.039179   -0.050000    3.679942
    0.039179    0.000000    1.520843
    0.039179    0.050000    0.825296
    0.039179    0.100000    0.567694
    0.039179    0.150000    0.474015
    0.039179    0.200000    0.472026
    0.039179    0.250000    0.560440
    0.039179    0.300000    0.806878
    0.039179    0.350000    1.469043
    0.039179    0.400000    3.519966
    0.039179    0.450000    6.432407
    0.039179    0.500000    3.058416
    0.039179    0.550000    1.288753
    0.039179    0.600000    0.690727
    0.039179    0.650000    0.439820
    0.039179    0.700000    0.314218
    0.039179    0.750000    0.243459
    0.039179    0.800000    0.200411
    0.039179    0.850000    0.173002
    0.039179    0.900000    0.155268
    0.039179    0.950000    0.144050
    0.039179    1.000000    0.137615
    0.039179    1.050000    0.135039
    0.039179    1.100000    0.135924
    0.039179    1.150000    0.140283
    0.039179    1.200000    0.148538
    0.039179    1.250000    0.161632
    0.039179    1.300000    0.181309
    0.039179    1.350000    0.210721
    0.039179    1.400000    0.255760
    0.039179    1.450000    0.328276
    0.039179    1.500000    0.454702
    0.039179    1.550000    0.703151
    0.039179    1.600000    1.286217
    0.039179    1.650000    2.993082
    0.039179    1.700000    6.437679
    0.039179    1.750000    3.692820
    0.039179    1.800000    1.573730
    0.039179    1.850000    0.904893
    0.039179    1.900000    0.677048
    0.039179    1.950000    0.627362
    0.039179    2.000000    0.701315
    0.039179    2.050000    0.943841
    0.039179    2.100000    1.578365
    0.039179    2.150000    3.467359
    0.039179    2.200000    6.921303
    0.039179    2.250000    4.224314
    0.039179    2.300000    3.111825
    0.039179    2.350000    5.152290
    0.039179    2.400000    6.263860
    0.039179    2.450000    2.693524
    0.039179    2.500000    1.318773
    0.039179    2.550000    0.829632
    0.039179    2.600000    0.627436
    0.039179    2.650000    0.550636
    0.039179    2.700000    0.555177
    0.039179    2.750000    0.648096
    0.039179    2.800000    0.899326
    0.039179    2.850000    1.564222
    0.039179    2.900000    3.602876
    0.039179    2.950000    6.601694
    0.039179    3.000000    3.304862
 
    0.048973   -3.000000    0.835187
    0.048973   -2.950000    0.574753
    0.048973   -2.900000    0.430403
    0.048973   -2.850000    0.343777
    0.048973   -2.800000    0.289243
    0.048973   -2.750000    0.254269
    0.048973   -2.700000    0.232268
    0.048973   -2.650000    0.219641
    0.048973   -2.600000    0.214462
    0.048973   -2.550000    0.215868
    0.048973   -2.500000    0.223802
    0.048973   -2.450000    0.238986
    0.048973   -2.400000    0.263106
    0.048973   -2.350000    0.299299
    0.048973   -2.300000    0.353231
    0.048973   -2.250000    0.435516
    0.048973   -2.200000    0.567650
    0.048973   -2.150000    0.798622
    0.048973   -2.100000    1.260446
    0.048973   -2.050000    2.393007
    0.048973   -2.000000    5.591624
    0.048973   -1.950000    6.992047
    0.048973   -1.900000    5.345559
    0.048973   -1.850000    8.272738
    0.048973   -1.800000    7.838662
    0.048973   -1.750000    8.513617
    0.048973   -1.700000    4.724865
    0.048973   -1.650000    2.544448
    0.048973   -1.600000    2.251488
    0.048973   -1.550000    3.559611
    0.048973   -1.500000    6.789406
    0.048973   -1.450000    3.913191
    0.048973   -1.400000    1.684463
    0.048973   -1.350000    0.922577
    0.048973   -1.300000    0.599708
    0.048973   -1.250000    0.433372
    0.048973   -1.200000    0.335679
    0.048973   -1.150000    0.273042
    0.048973   -1.100000    0.230423
    0.048973   -1.050000    0.200256
    0.048973   -1.000000    0.178387
    0.048973   -0.950000    0.162397
    0.048973   -0.900000    0.150816
    0.048973   -0.850000    0.142748
    0.048973   -0.800000    0.137670
    0.048973   -0.750000    0.135334
    0.048973   -0.700000    0.135734
    0.048973   -0.650000    0.139110
    0.048973   -0.600000    0.146025
    0.048973   -0.550000    0.157507
    0.048973   -0.500000    0.175364
    0.048973   -0.450000    0.202811
    0.048973   -0.400000    0.245864
    0.048973   -0.350000    0.316668
    0.048973   -0.300000    0.442503
    0.048973   -0.250000    0.694269
    0.048973   -0.200000    1.295407
    0.048973   -0.150000    3.076524
    0.048973   -0.100000    6.437647
    0.048973   -0.050000    3.499931
    0.048973    0.000000    1.461723
    0.048973    0.050000    0.802627
    0.048973    0.100000    0.556027
    0.048973    0.150000    0.465746
    0.048973    0.200000    0.463623
    0.048973    0.250000    0.548305
    0.048973    0.300000    0.783167
    0.048973    0.350000    1.407617
    0.048973    0.400000    3.331040
    0.048973    0.450000    6.461676
    0.048973    0.500000    3.231561
    0.048973    0.550000    1.343865
    0.048973    0.600000    0.711509
    0.048973    0.650000    0.449431
    0.048973    0.700000    0.319358
    0.048973    0.750000    0.246508
    0.048973    0.800000    0.202366
    0.048973    0.850000    0.174335
    0.048973    0.900000    0.156225
    0.048973    0.950000    0.144768
    0.048973    1.000000    0.138175
    0.048973    1.050000    0.135494
    0.048973    1.100000    0.136307
    0.048973    1.150000    0.140617
    0.048973    1.200000    0.148838
    0.048973    1.250000    0.161910
    0.048973    1.300000    0.181572
    0.048973    1.350000    0.210970
    0.048973    1.400000    0.255992
    0.048973    1.450000    0.328468
    0.048973    1.500000    0.454784
    0.048973    1.550000    0.702907
    0.048973    1.600000    1.284862
    0.048973    1.650000    2.987648
    0.048973    1.700000    6.435819
    0.048973    1.750000    3.701817
    0.048973    1.800000    1.578080
    0.048973    1.850000    0.908504
    0.048973    1.900000    0.681633
    0.048973    1.950000    0.634556
    0.048973    2.000000    0.714409
    0.048973    2.050000    0.971899
    0.048973    2.100000    1.652816
    0.048973    2.150000    3.699866
    0.048973    2.200000    6.926209
    0.048973    2.250000    3.987384
    0.048973    2.300000    3.031296
    0.048973    2.350000    5.109184
    0.048973    2.400000    6.264460
    0.048973    2.450000    2.696014
    0.048973    2.500000    1.318714
    0.048973    2.550000    0.829953
    0.048973    2.600000    0.628915
    0.048973    2.650000    0.553938
    0.048973    2.700000    0.561664
    0.048973    2.750000    0.661168
    0.048973    2.800000    0.928908
    0.048973    2.850000    1.645654
    0.048973    2.900000    3.854199
    0.048973    2.950000    6.518037
    0.048973    3.000000    3.095222
 
    0.058768   -3.000000    0.804363
    0.058768   -2.950000    0.558254
    0.058768   -2.900000    0.420621
    0.058768   -2.850000    0.337517
    0.058768   -2.800000    0.284986
    0.058768   -2.750000    0.251220
    0.058768   -2.700000    0.229974
    0.058768   -2.650000    0.217823
    0.058768   -2.600000    0.212933
    0.058768   -2.550000    0.214484
    0.058768   -2.500000    0.222429
    0.058768   -2.450000    0.237469
    0.058768   -2.400000    0.261225
    0.058768   -2.350000    0.296680
    0.058768   -2.300000    0.349168
    0.058768   -2.250000    0.428521
    0.058768   -2.200000    0.554231
    0.058768   -2.150000    0.769415
    0.058768   -2.100000    1.185611
    0.058768   -2.050000    2.157833
    0.058768   -2.000000    4.915666
    0.058768   -1.950000    7.707286
    0.058768   -1.900000    6.067352
    0.058768   -1.850000    9.069882
    0.058768   -1.800000    9.256941
    0.058768   -1.750000    7.651626
    0.058768   -1.700000    3.466207
    0.058768   -1.650000    2.020635
    0.058768   -1.600000    1.750123
    0.058768   -1.550000    2.404280
    0.058768   -1.500000    5.106855
    0.058768   -1.450000    5.868829
    0.058768   -1.400000    2.448684
    0.058768   -1.350000    1.180870
    0.058768   -1.300000    0.708139
    0.058768   -1.250000    0.487113
    0.058768   -1.200000    0.365611
    0.058768   -1.150000    0.291188
    0.058768   -1.100000    0.242156
    0.058768   -1.050000    0.208238
    0.058768   -1.000000    0.184053
    0.058768   -0.950000    0.166569
    0.058768   -0.900000    0.153993
    0.058768   -0.850000    0.145249
    0.058768   -0.800000    0.139709
    0.058768   -0.750000    0.137064
    0.058768   -0.700000    0.137272
    0.058768   -0.650000    0.140561
    0.058768   -0.600000    0.147491
    0.058768   -0.550000    0.159114
    0.058768   -0.500000    0.177290
    0.058768   -0.450000    0.205349
    0.058768   -0.400000    0.249555
    0.058768   -0.350000    0.322636
    0.058768   -0.300000    0.453421
    0.058768   -0.250000    0.717652
    0.058768   -0.200000    1.357269
    0.058768   -0.150000    3.270513
    0.058768   -0.100000    6.463009
    0.058768   -0.050000    3.292032
    0.058768    0.000000    1.394124
    0.058768    0.050000    0.776337
    0.058768    0.100000    0.542349
    0.058768    0.150000    0.456000
    0.058768    0.200000    0.453730
    0.058768    0.250000    0.534128
    0.058768    0.300000    0.755807
    0.058768    0.350000    1.337842
    0.058768    0.400000    3.115033
    0.058768    0.450000    6.442088
    0.058768    0.500000    3.456050
    0.058768    0.550000    1.415745
    0.058768    0.600000    0.738223
    0.058768    0.650000    0.461652
    0.058768    0.700000    0.325844
    0.058768    0.750000    0.250334
    0.058768    0.800000    0.204809
    0.058768    0.850000    0.175995
    0.058768    0.900000    0.157412
    0.058768    0.950000    0.145656
    0.058768    1.000000    0.138868
    0.058768    1.050000    0.136054
    0.058768    1.100000    0.136778
    0.058768    1.150000    0.141026
    0.058768    1.200000    0.149206
    0.058768    1.250000    0.162250
    0.058768    1.300000    0.181894
    0.058768    1.350000    0.211278
    0.058768    1.400000    0.256280
    0.058768    1.450000    0.328710
    0.058768    1.500000    0.454901
    0.058768    1.550000    0.702647
    0.058768    1.600000    1.283309
    0.058768    1.650000    2.981326
    0.058768    1.700000    6.433622
    0.058768    1.750000    3.712488
    0.058768    1.800000    1.583324
    0.058768    1.850000    0.912950
    0.058768    1.900000    0.687363
    0.058768    1.950000    0.643648
    0.058768    2.000000    0.731157
    0.058768    2.050000    1.008340
    0.058768    2.100000    1.751408
    0.058768    2.150000    4.004062
    0.058768    2.200000    6.841405
    0.058768    2.250000    3.723470
    0.058768    2.300000    2.941484
    0.058768    2.350000    5.059020
    0.058768    2.400000    6.266195
    0.058768    2.450000    2.699657
    0.058768    2.500000    1.318939
    0.058768    2.550000    0.830531
    0.058768    2.600000    0.630884
    0.058768    2.650000    0.558179
    0.058768    2.700000    0.569957
    0.058768    2.750000    0.677982
    0.058768    2.800000    0.967459
    0.058768    2.850000    1.753726
